developer_uid,submission_id,status,thumbs_up_ratio,user_writing_speed,repetition,total_feedback_count,overall_rank,last_updated
vietanh,anhnv125-llama-op-v17-1_v12,inactive,0.8098159509202454,1.7896141067754066,0.11648269253774911,163,1,1698827418.3491042
yallen,ilyagusev-mythyras-d30-m4_v2,inactive,0.7947019867549668,2.080039497455621,0.12419293551853004,151,2,1698827418.3491042
yallen,ilyagusev-mythyras-d30-m3_v7,inactive,0.8012820512820513,2.1599014552720943,0.11941723608587775,156,3,1698827418.3491042
yallen,ilyagusev-mythyras-d30-m4_v3,inactive,0.7857142857142857,1.930003253472316,0.13386003618183853,168,4,1698827418.3491042
wendyhoang,wendyhoang-roleplay-model_v20,inactive,0.7974683544303798,2.1706062250262077,0.11195519622985002,158,5,1698827418.3491042
wendyhoang,wendyhoang-roleplay-model_v21,inactive,0.7916666666666666,2.2126204526047273,0.10807330691904868,168,6,1698827418.3491042
yallen,ilyagusev-mythyras-d31-m3_v4,inactive,0.7987804878048781,2.252582033670259,0.12769471637575788,164,7,1698827418.3491042
khoangothe,khoantap-test-v1_v18,inactive,0.7580645161290323,1.8665849870682139,0.19772090884839139,186,8,1698827418.3491042
khoangothe,khoantap-eva-v1_v3,inactive,0.7738095238095238,2.1811681460471157,0.1584348933652981,168,9,1698827418.3491042
theboss,undi95-mistral-11b-cc-air-rp_v12,inactive,0.7624309392265194,2.0346837881192634,0.11161444772774029,181,10,1698827418.3491042
vietanh,anhnv125-llama-op-v17-1_v14,deployed,0.8241206030150754,2.3434986263675626,0.13953174201091922,199,11,1698827418.3491042
otuey,khanhnto-khanh1711_v3,inactive,0.7848101265822784,2.240200769169276,0.12679556130571143,158,12,1698827418.3491042
wendyhoang,wendyhoang-roleplay-model_v24,deployed,0.7848837209302325,2.2446449866544596,0.10134419098942953,172,12,1698827418.3491042
wendyhoang,wendyhoang-roleplay-model_v18,inactive,0.7716049382716049,2.196686760130734,0.11151695475494397,162,14,1698827418.3491042
vietanh,anhnv125-llama-op-v18_v5,deployed,0.8298969072164949,2.3915612132286648,0.12007735039295792,194,15,1698827418.3491042
vietanh,anhnv125-llama-op-v8-76_v9,inactive,0.7935483870967742,2.3264596673841567,0.11920300721921308,155,16,1698827418.3491042
vietanh,anhnv125-llama-op-v8-75_v25,inactive,0.7712765957446809,2.21177392156854,0.12252245007892432,188,17,1698827418.3491042
